index,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
1271,"Konigsberg, Bill",The Music of What Happens,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
1272,"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1273,"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1274,"Konigsberg, Bill",The Music of What Happens,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator
1275,"Konigsberg, Bill",The Porcupine of Truth,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1276,"Kostecki-Shaw, Jenny Sue","Iguales, pero diferentes (Same, Same But Different)",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1277,"Kostecki-Shaw, Jenny Sue","Same, Same But Different",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1278,"Krull, Kathleen",Harvesting Hope: The Story of Cesar Chavez,Banned in Classrooms,,"Morales, Yuyi",,Pennsylvania,Central York School District,August 2021,Administrator
1279,"Krull, Kathleen",Sonia Sotomayor (Women Who Broke the Rules Series),Banned Pending Investigation,,"Dominguez, Angela",,Florida,Duval County Public Schools,January 2022,Administrator
1280,"Krull, Kathleen",Starstruck: The Cosmic Journey of Neil Degrasse Tyson,Banned in Classrooms,"Brewer, Paul","Morrison, Frank",,Pennsylvania,Central York School District,August 2021,Administrator
1281,"Krull, Kathleen",What Was the March on Washington? (What was...? Series),Banned in Classrooms,,"Tomkinson, Tim",,Pennsylvania,Central York School District,August 2021,Administrator
1282,"Kuhlman, Evan",Hank's Big Day: The Story of a Bug,Banned in Classrooms,,"Groenink, Chuck",,Pennsylvania,Central York School District,August 2021,Administrator
1283,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned in Libraries and Classrooms,,,,Arkansas,Siloam Springs School District,January 2022,Formal Challenge
1284,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
1285,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned in Libraries and Classrooms,,,,Georgia,Cherokee County School District,February 2022,Formal Challenge
1286,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge
1287,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,Texas,Birdville Independent School District,October 2021,Formal Challenge
1288,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
1289,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
1290,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1291,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,Texas,Waller Independent School District,November 2021,Administrator
1292,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administrator
1293,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,Virginia,Virginia Beach City Public Schools,October 2021,Administrator
1294,"Kuntz, Doug",Lost and Found Cat : The True Story of Kunkush's Incredible Journey,Banned Pending Investigation,"Shrodes, Amy","Cornelison, Sue",,Florida,Duval County Public Schools,January 2022,Administrator
1295,"Kushner, Elisabeth",The Purim Superhero,Banned Pending Investigation,,"Byrne, Mike",,Florida,Walton County School District,April 2022,Administrator
1296,"La Grotteria, Coni",El color de la piel,Banned in Classrooms,,"Pereda, Laura",,Pennsylvania,Central York School District,August 2021,Administrator
1297,"La Sala, Ryan",Be Dazzled,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1298,"La Sala, Ryan",Reverie,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1299,"Labrecque, Ellen",Who Was Maya Angelou? (Who was...? Series),Banned in Classrooms,,"Putra, Dede",,Pennsylvania,Central York School District,August 2021,Administrator
1300,"LaCour, Nina",Everything Leads to You,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1301,"LaCour, Nina",We Are Okay,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1302,"LaCour, Nina",You Know Me Well,Banned Pending Investigation,"Levithan, David",,,Texas,Granbury Independent School District,January 2022,Administrator
1303,"LaCour, Nina",You Know Me Well,Banned Pending Investigation,"Levithan, David",,,Texas,North East Independent School District,December 2021,Administrator
1304,"Ladson-Billings, Gloria",The Dreamkeepers: Successful Teachers of African American Children,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1305,"Lainez, Rene Colato",¡Vámonos! Let's Go!,Banned in Classrooms,,"Cepeda, Joe",,Pennsylvania,Central York School District,August 2021,Administrator
1306,"Laird, Elizabeth",A Little Piece of Ground,Banned Pending Investigation,"Nimr, Sonia","Neal, Bill",,Florida,Duval County Public Schools,January 2022,Administrator
1307,"Landau, Elaine",Date Violence (Life Balance),Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
1308,"Lange, Donna",Taking Responsibility: A Teen's Guide to Contraception and Pregnancy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1309,"Langford, Jo",The Pride Guide: A Guide to Sexual and Social Health for LGBTQ Youth,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator
1310,"Larimore, Walter",The Ultimate Guys' Body Book: Not-So-Stupid Questions About Your Body,Banned Pending Investigation,"Francis, Guy",,,Texas,North East Independent School District,December 2021,Administrator
1311,"Larson, Kirby",Dash (Dogs of World War II Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
1312,"Lassieur, Allison",25 Women Who Dared to Go,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1313,"Latham, Irene","Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship",Banned in Classrooms,"Waters, Charles","Qualls, Sean; Alko, Selina",,Pennsylvania,Central York School District,August 2021,Administrator
1314,"Lauren, Christina",Autoboyography,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1315,"Lauren, Christina",Beautiful Bastard (Beautiful Bastard Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
1316,"Lauture, Denize",Running the Road to ABC,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
1317,"Lawrence, Lisa J.",Trail of Crumbs,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
1318,"Lawson, Jamie","Rainbow Revolutions: Power, Pride and Protest in the Fight for Queer Rights",Banned Pending Investigation,,"Knight, Eve Lloyd",,Texas,North East Independent School District,December 2021,Administrator
1319,"Lawson, Richard",All We Can Do Is Wait,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1320,"Lawson, Richard",All We Can Do Is Wait,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1321,"Laymon, Kiese",Heavy: An American Memoir,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
1322,"Laymon, Kiese",Heavy: An American Memoir,Banned Pending Investigation,,,,Missouri,Wentzville School District,October 2021,Formal Challenge
1323,"Le, Minh",Drawn Together,Banned in Classrooms,,"Santat, Dan",,Pennsylvania,Central York School District,August 2021,Administrator
1324,"Leavitt, Martine",My Book of Life by Angel,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
1325,"Lecesne, Celeste",Absolute Brightness,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1326,"Lee, Harper",To Kill a Mockingbird,Banned in Classrooms,,,,North Carolina,Pitt County Schools,November 2021,Administrator
1327,"Lee, Harper",To Kill a Mockingbird,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administrator
1328,"Lee, Lyla",I'll Be the One,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
1329,"Lee, Lyla",I'll Be the One,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1330,"Lee, Lyla",Mindy Kim and the Big Pizza Challenge (Mindy Kim Series),Banned in Classrooms,,"Ho, Dung",,Pennsylvania,Central York School District,August 2021,Administrator
1331,"Lee, Lyla",Mindy Kim and the Birthday Puppy (Mindy Kim Series),Banned in Classrooms,,"Ho, Dung",,Pennsylvania,Central York School District,August 2021,Administrator
1332,"Lee, Lyla",Mindy Kim and the Fairy-Tale Wedding (Mindy Kim Series),Banned in Classrooms,,"Ho, Dung",,Pennsylvania,Central York School District,August 2021,Administrator
1333,"Lee, Lyla",Mindy Kim and the Lunar New Year Parade (Mindy Kim Series),Banned in Classrooms,,"Ho, Dung",,Pennsylvania,Central York School District,August 2021,Administrator
1334,"Lee, Lyla",Mindy Kim and the Trip to Korea (Mindy Kim Series),Banned in Classrooms,,"Ho, Dung",,Pennsylvania,Central York School District,August 2021,Administrator
1335,"Lee, Lyla",Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series),Banned in Classrooms,,"Ho, Dung",,Pennsylvania,Central York School District,August 2021,Administrator
1336,"Lee, Lyla","Mindy Kim, Class President (Mindy Kim Series)",Banned in Classrooms,,"Ho, Dung",,Pennsylvania,Central York School District,August 2021,Administrator
1337,"Lee, Mackenzi",The Gentleman's Guide to Vice and Virtue (Montague Siblings Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1338,"Lee, Mackenzi",The Lady's Guide to Petticoats and Piracy (Montague Siblings Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1339,"Lee, Stacey",The Downstairs Girl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1340,"Lee, Uk-Bae",When Spring Comes to the DMZ,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
1341,"Lee, Victoria",A Lesson in Vengeance,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1342,"Lee, Victoria",The Electric Heir (Feverwake Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1343,"Lee, Victoria",The Fever King (Feverwake Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1344,"Leff, Carrie",Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,Banned Pending Investigation,"Klein, Lisa",,,Florida,Walton County School District,April 2022,Administrator
1345,"Leone, Bruno",Rape On Campus,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
1346,"Lerner, K. Lee",Gender Issues and Sexuality: Essential Primary Sources,Banned Pending Investigation,"Lerner, Brenda Wilmoth; Lerner, Adrienne Wilmoth",,,Tennessee,Collierville Schools,February 2022,Administrator
1347,"Levine, Ellen",Henry's Freedom Box: A True Story from the Underground Railroad,Banned in Classrooms,,"Nelson, Kadir",,Pennsylvania,Central York School District,August 2021,Administrator
1348,"Levithan, David",19 Love Songs,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1349,"Levithan, David",Another Day (Every Day Series),Banned in Libraries,,,,North Carolina,Iredell-Statesville School District,February 2022,Administrator
1350,"Levithan, David",Every Day (Every Day Series),Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administrator
1351,"Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
1352,"Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1353,"Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1354,"Levithan, David",Love Is the Higher Law,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1355,"Levithan, David",The Realm of Possibility,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
1356,"Levithan, David",Two Boys Kissing,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator
1357,"Levithan, David",Two Boys Kissing,Banned in Libraries and Classrooms,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge
1358,"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
